scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
Enhanced Ambition,NC,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94721,7.77182,8.20743,8.75997
Enhanced Ambition,ND,elect_td_bld,1975$/GJ,14.328,12.6013,12.4122,11.6872,7.78548,7.42328,8.61468,8.66531
Enhanced Ambition,NE,elect_td_bld,1975$/GJ,14.328,12.6013,12.4122,11.6872,7.78919,7.42838,8.62392,8.67848
Enhanced Ambition,New England grid,delivered gas,1975$/GJ,2.98703,4.05426,4.0632,3.16018,2.87973,3.18859,2.91004,2.73386
Enhanced Ambition,New England grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,New York grid,delivered gas,1975$/GJ,2.90433,3.97156,3.9805,3.07748,2.79703,3.10589,2.82734,2.65116
Enhanced Ambition,New York grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,NH,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.02795,8.1678,8.61331,8.56755
Enhanced Ambition,NJ,elect_td_bld,1975$/GJ,14.5636,13.5001,13.5369,12.2164,8.63649,7.57406,7.63097,7.93891
Enhanced Ambition,NM,elect_td_bld,1975$/GJ,14.0251,12.1213,12.0376,11.141,7.46162,6.85967,7.54936,7.98777
Enhanced Ambition,Northwest grid,delivered gas,1975$/GJ,2.40303,3.47026,3.4792,2.57618,2.29573,2.60459,2.32604,2.14986
Enhanced Ambition,Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,NV,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.7211,6.86433,7.21871,7.39786
Enhanced Ambition,NY,elect_td_bld,1975$/GJ,14.0415,13.8198,13.8621,12.1742,8.23145,7.32857,7.61384,7.5062
Enhanced Ambition,OH,elect_td_bld,1975$/GJ,14.5119,13.047,13.2295,12.5698,8.10743,8.02074,9.66726,9.90016
Enhanced Ambition,OK,elect_td_bld,1975$/GJ,12.558,11.9027,11.8296,9.85647,7.50386,7.00317,7.26725,7.62547
Enhanced Ambition,OR,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.67261,6.85723,7.20132,7.36104
Enhanced Ambition,PA,elect_td_bld,1975$/GJ,14.5636,13.5001,13.5369,12.2164,8.63716,7.57468,7.63197,7.94101
Enhanced Ambition,RI,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.02836,8.16815,8.61404,8.56886
Enhanced Ambition,SC,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94711,7.77176,8.20737,8.75948
Enhanced Ambition,SD,elect_td_bld,1975$/GJ,14.328,12.6013,12.4122,11.6872,7.7883,7.42717,8.62184,8.67552
Enhanced Ambition,Southeast grid,delivered gas,1975$/GJ,2.20613,3.27336,3.2823,2.37928,2.09883,2.40769,2.12914,1.95296
Enhanced Ambition,Southeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,Southwest grid,delivered gas,1975$/GJ,2.22933,3.29656,3.3055,2.40248,2.12203,2.43089,2.15234,1.97616
Enhanced Ambition,Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,Texas grid,delivered gas,1975$/GJ,1.73633,2.80356,2.8125,1.90948,1.62903,1.93789,1.65934,1.48316
Enhanced Ambition,Texas grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,TN,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94742,7.77203,8.20731,8.75929
Enhanced Ambition,TX,elect_td_bld,1975$/GJ,12.9272,12.4396,12.2594,10.22,6.98036,6.5546,6.99396,7.73136
Enhanced Ambition,USA,delivered gas,1975$/GJ,2.34183,3.40906,3.418,2.51498,2.23453,2.54339,2.26484,2.08866
Enhanced Ambition,UT,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.67719,6.85826,7.20403,7.36696
Enhanced Ambition,VA,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94554,7.76884,8.20176,8.75339
Enhanced Ambition,VT,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.0276,8.16748,8.61257,8.56609
Enhanced Ambition,WA,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.6715,6.85685,7.20038,7.35916
Enhanced Ambition,WI,elect_td_bld,1975$/GJ,14.4579,12.8542,12.9613,12.3894,8.16939,7.65595,8.49666,8.49496
Enhanced Ambition,WV,elect_td_bld,1975$/GJ,14.5119,13.047,13.2295,12.5698,8.10702,8.0201,9.66512,9.89679
Enhanced Ambition,WY,elect_td_bld,1975$/GJ,14.0251,12.1213,12.0376,11.141,7.43047,6.85116,7.53027,7.94432
ExecRollback,AK,elect_td_bld,1975$/GJ,15.166,15.917,16.3325,14.7807,8.51269,9.21994,9.97118,11.9562
ExecRollback,AL,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83139,7.6682,8.00118,8.37094
ExecRollback,Alaska grid,delivered gas,1975$/GJ,3.51323,4.58046,4.5894,3.68638,3.40321,3.71691,3.4789,3.73739
ExecRollback,Alaska grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,AR,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83222,7.66971,8.00394,8.37379
ExecRollback,AZ,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.38423,6.79445,7.23214,7.57057
ExecRollback,CA,elect_td_bld,1975$/GJ,14.6445,14.1577,13.8954,11.9167,8.19077,7.63836,7.98298,8.42794
ExecRollback,California grid,delivered gas,1975$/GJ,2.87453,3.94176,3.9507,3.04768,2.76451,3.07821,2.8402,3.09869
ExecRollback,California grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central East grid,delivered gas,1975$/GJ,2.40803,3.47526,3.4842,2.58118,2.29801,2.61171,2.3737,2.63219
ExecRollback,Central East grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central Northeast grid,delivered gas,1975$/GJ,2.70913,3.77636,3.7853,2.88228,2.59911,2.91281,2.6748,2.93329
ExecRollback,Central Northeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central Northwest grid,delivered gas,1975$/GJ,2.26243,3.32966,3.3386,2.43558,2.15241,2.46611,2.2281,2.48659
ExecRollback,Central Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central Southwest grid,delivered gas,1975$/GJ,2.23593,3.30316,3.3121,2.40908,2.12591,2.43961,2.2016,2.46009
ExecRollback,Central Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,CO,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.35434,6.78657,7.21837,7.54633
