"","scenario","sector","technology","subsector","Units","USREP_region","year","invest","PercentChangeFromCPOL"
"213","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","SouthAtlantic","2020",0.00228611591369,0
"214","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","SouthAtlantic","2025",0.00265792225424,0
"215","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","SouthAtlantic","2030",0.0020794562624062,0
"216","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","SouthAtlantic","2035",0.00275990106534388,0
"217","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","West","2020",0.002473778685,0
"218","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","West","2025",0.00281944035577,0
"219","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","West","2030",0.00232088318590008,0
"220","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","West","2035",0.00176934878717601,0
"221","Current Policies","resid heating","gas furnace","gas","Billions 1975$","AK-HI","2020",0.03963387227592,0
"222","Current Policies","resid heating","gas furnace","gas","Billions 1975$","AK-HI","2025",0.038965844539254,0
"223","Current Policies","resid heating","gas furnace","gas","Billions 1975$","AK-HI","2030",0.0307175386465124,0
"224","Current Policies","resid heating","gas furnace","gas","Billions 1975$","AK-HI","2035",0.0249859059589754,0
"225","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Appalachia","2020",0.96742145267941,0
"226","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Appalachia","2025",0.98798189966836,0
"227","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Appalachia","2030",0.752117876640588,0
"228","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Appalachia","2035",0.591648415839941,0
"229","Current Policies","resid heating","gas furnace","gas","Billions 1975$","GulfCoast","2020",0.19081611202232,0
"230","Current Policies","resid heating","gas furnace","gas","Billions 1975$","GulfCoast","2025",0.2027878812429,0
"231","Current Policies","resid heating","gas furnace","gas","Billions 1975$","GulfCoast","2030",0.147520544704579,0
"232","Current Policies","resid heating","gas furnace","gas","Billions 1975$","GulfCoast","2035",0.109608490644409,0
"233","Current Policies","resid heating","gas furnace","gas","Billions 1975$","MidA","2020",0.68085727704902,0
"234","Current Policies","resid heating","gas furnace","gas","Billions 1975$","MidA","2025",0.69481150635766,0
"235","Current Policies","resid heating","gas furnace","gas","Billions 1975$","MidA","2030",0.529334528476604,0
"236","Current Policies","resid heating","gas furnace","gas","Billions 1975$","MidA","2035",0.415846013906144,0
"237","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midcontinent","2020",0.50872215948117,0
"238","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midcontinent","2025",0.52138205624341,0
"239","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midcontinent","2030",0.393964002192113,0
"240","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midcontinent","2035",0.305764623224734,0
"241","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midwest","2020",1.7393746499571,0
"242","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midwest","2025",1.77294543067135,0
"243","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midwest","2030",1.35948155610968,0
"244","Current Policies","resid heating","gas furnace","gas","Billions 1975$","Midwest","2035",1.0859610744824,0
"245","Current Policies","resid heating","gas furnace","gas","Billions 1975$","NewEngland","2020",1.12054758124376,0
"246","Current Policies","resid heating","gas furnace","gas","Billions 1975$","NewEngland","2025",1.1330607269362,0
"247","Current Policies","resid heating","gas furnace","gas","Billions 1975$","NewEngland","2030",0.890684692476523,0
"248","Current Policies","resid heating","gas furnace","gas","Billions 1975$","NewEngland","2035",0.750887884194268,0
"249","Current Policies","resid heating","gas furnace","gas","Billions 1975$","PacificNorthwest","2020",0.1384239902962,0
"250","Current Policies","resid heating","gas furnace","gas","Billions 1975$","PacificNorthwest","2025",0.14112619713712,0
"251","Current Policies","resid heating","gas furnace","gas","Billions 1975$","PacificNorthwest","2030",0.106383275050638,0
"252","Current Policies","resid heating","gas furnace","gas","Billions 1975$","PacificNorthwest","2035",0.0801539294735569,0
"253","Current Policies","resid heating","gas furnace","gas","Billions 1975$","RockiesCentral","2020",0.35259080628312,0
"254","Current Policies","resid heating","gas furnace","gas","Billions 1975$","RockiesCentral","2025",0.36298213847916,0
"255","Current Policies","resid heating","gas furnace","gas","Billions 1975$","RockiesCentral","2030",0.27421274166224,0
"256","Current Policies","resid heating","gas furnace","gas","Billions 1975$","RockiesCentral","2035",0.215918913658455,0
"257","Current Policies","resid heating","gas furnace","gas","Billions 1975$","SouthAtlantic","2020",0.206714041583,0
"258","Current Policies","resid heating","gas furnace","gas","Billions 1975$","SouthAtlantic","2025",0.21326019914046,0
"259","Current Policies","resid heating","gas furnace","gas","Billions 1975$","SouthAtlantic","2030",0.159236290601098,0
"260","Current Policies","resid heating","gas furnace","gas","Billions 1975$","SouthAtlantic","2035",0.119422568460027,0
"261","Current Policies","resid heating","gas furnace","gas","Billions 1975$","West","2020",0.3902425839977,0
"262","Current Policies","resid heating","gas furnace","gas","Billions 1975$","West","2025",0.3932327713217,0
"263","Current Policies","resid heating","gas furnace","gas","Billions 1975$","West","2030",0.303101181750004,0
